soucename,source,village,district,eastings,nothings,latitude,longitude,ecoli,ph,electrical_conductivity,turbidity,color_apparent,total_dissolved_salts,total_alkalinity,bicarbonates,total_hardness,CalciumHardardness,magnesium_hardness,fluoride,chloride,sulphate,nitrites,nitrates_n,ammonium_n,phosphates_p
Kitega Wanton protected spring,Protected Spring,Kitega wanton,Mukono,473559,38474,1.25,32.5,0,5.1,122,2.84,29,0,15,0,30,15,0,0.1172,0,2.75104,0.00566,5.17801,0.12644,0.04336
Upper Kauga borehole ,BoreHole,Upper kauga,Mukono,471067,40346,0.3652592,32.7351989,0,5.4,122,1.76,2,0,32,0,26,18,0,0.11354,0,1.72234,0.00832,6.14054,0.02089,0.11609
Vuumba Community borehole,BoreHole,Vuumba,Luweero,0.605723,32.676042,1.25,32.5,1,6.57,286,1.7,1,200.2,46,56.12,86.2,44.2,42,0.41131,18.3249,14.03802,0.00496,15.10519,0.04848,0.46958
Ndeeba Masjid Noor shallow well,Well,Ndeeba kakoni,Luweero,0.614298,32.68916,1.25,32.5,44,6.45,169.9,1.6,13,118.93,51,62.22,41.2,21.2,20,0.36076,1.55855,20.59539,0.00263,4.62426,0.08792,1.03224
Bulami community borehole,BoreHole,Bulami,Luweero,0.632672,32.700623,1.25,32.5,1,6.64,108.5,1.9,14,75.95,37,45.14,33.4,16.4,17,0.20522,0.67499,0.80816,0.02196,3.84813,0.03488,0.33294
Kajjawo community borehole,BoreHole,Kajjawo,Luweero,0.626347,32.707973,1.25,32.5,1,5.27,187.8,1.4,8,131.46,13,15.86,29.8,15.2,14.6,0.09463,14.52271,24.96521,0.00739,10.01999,0.14477,0.17133
Zirobwe Masjid Taqwa shallow well,Well,Zirobwe,Luweero,0.681463,32.699047,0.6815068,32.7020274,0,6.5,1220,1.7,19,854,150,183,357.2,165.8,191.4,0.42447,173.8706,43.43394,2.30315,37.79263,0.1207,0.3615
Namakofu shallow well,Well,Namakofu,Luweero,0.67265,32.674879,0.6809874,32.6486514,1,6.74,331,2.3,12,231.7,100,122,82.6,51.8,30.8,0.77834,8.29878,36.57894,0.00639,6.15709,0.0675,0.55491
NWSC Zirobwe resovior,NWSC,Namawojja,Luweero,0.665295,32.666728,0.6670028,32.6625128,1,6.48,446,1.7,1,312.2,130,158.6,144.4,77.2,67.2,0.73177,27.63186,39.77444,0.00258,8.68669,0.06563,0.35988
NWSC Zirobwe PSP,NWSC,Tawalulwa,Luweero,0.663028,32.64662,1.25,32.5,1,6.38,302,1.9,7,211.4,110,134.2,102,46.6,55.4,0.45675,9.85516,27.66709,0.00194,3.21673,0.07008,0.38789
Nampunge community borehole,BoreHole,Nampunge,Luweero,0.661952,32.644702,0.466667,32.316667,1,5.73,172.1,2,0.2432,120.47,43,52.46,38.4,17.8,20.6,0.20116,4.17567,14.80111,0.00281,4.49735,0.09176,0.21943
Lutete community borehole,BoreHole,Lutete,Luweero,0.666747,32.614158,-0.6829361,31.493391,1,5.17,291,1.2,0.2432,203.7,24,29.28,71.2,32.8,38.4,0.15168,45.38383,16.03626,0.00281,9.47204,0.22752,0.38024
Kaliro katono community borehole - DWD 17219,BoreHole,Kaliro katono,Luweero,0.712023,32.58277,1.25,32.5,1,6.71,642,1.7,0.2432,449.4,120,146.4,191,88.6,102.4,0.26116,18.39939,8.93293,0.02791,9.16832,0.05601,0.30606
Wobulenzi community borehole,BoreHole,Wobulenzi,Luweero,0.714815,32.534558,0.7190602,32.5285573,1,5.81,303,16,5,212.1,36,43.92,89.8,39,50.8,0.04588,0.3316,0.79032,0.00225,0.03692,0.04618,0.17013
NWSC Luweero Kiosk,NWSC,Galuweero,Luweero,0.847233,32.481705,1.25,32.5,1,6.26,277,1.9,4,193.9,72,87.84,40,22.6,17.4,0.21946,26.19005,13.49775,0.00412,5.09561,0.08118,0.26532
NWSC Luweero Final treated water,NWSC,Lumu,Luweero,0.842237,32.492723,1.25,32.5,1,6.44,278,1.8,0.2432,194.6,70,85.4,78.6,42.2,36.4,0.23203,26.36292,14.59248,0.00238,4.87447,0.06095,0.28844
Bulyake village borehole - DWD 32323,BoreHole,,Nakaseke,0.721368,32.480843,1.25,32.5,1,6,235,13,7,164.5,78,95.16,69,38,31,0.21303,5.45488,17.79477,0.01191,1.48263,0.1971,0.20126
Namasujja A community borehole,BoreHole,,Nakaseke,0.72946,32.474103,1.25,32.5,1,5.61,264,3,0.2432,184.8,48,58.56,90.2,28.8,61.4,1.10427,26.99087,9.59994,0.01132,2.07212,0.03498,0.21356
Namasujja parents P/school borehole,BoreHole,,Nakaseke,0.726038,32.4731655,1.25,32.5,1,5.31,126.7,1.9,0.2432,88.69,17,20.74,26,12.2,13.8,0.202,3.56735,5.92449,0.02316,0.95399,0.06833,0.17361
Kaasangombe community borehole,BoreHole,,Nakaseke,0.738432,32.462983,1.25,32.5,1,6.47,287,1.6,0.2432,200.9,105,128.1,120,41.2,78.8,0.18204,11.17057,11.21301,0.00872,5.63705,0.08723,0.1753
Nambega village borehole,BoreHole,,Nakaseke,0.74084,32.419403,1.25,32.5,1,6.72,259,9.3,39,181.3,105,128.1,80.6,63.4,17.2,0.2215,9.09889,15.13232,0.003,7.00937,0.06554,0.25961
Nakaseke community borehole,BoreHole,,Nakaseke,0.729647,32.401072,1.25,32.5,1,6.31,151.4,7.6,0.2432,105.98,51,62.22,41.6,18.4,23.2,0.20848,5.1866,16.87301,0.01114,1.40237,0.04523,0.17298
St. Joseph Kiziba R/C P/School borehole,BoreHole,,Nakaseke,0.72159,32.400658,1.25,32.5,1,6.85,507,2.1,0.2432,354.9,195,237.9,153.8,65.8,88,1.07831,27.59255,37.65802,0.01312,2.14827,0.08325,0.18601
Lufula zone community borehole,BoreHole,,Nakaseke,0.726592,32.407033,1.25,32.5,1,5.84,160.5,21,1,112.35,65,79.3,154.2,67.4,86.8,0.22763,3.75531,10.3992,0.02339,0.81859,0.10292,0.17207
St. Paul COU borehole,BoreHole,,Nakaseke,0.770128,32.407892,1.25,32.5,32,5.81,70,12,210,49,19,23.18,43.8,15.8,28,0.1025,6.4142,2.62863,0.00379,1.43968,0.06578,0.22459
Mosque Shallow well,Well,,Nakaseke,0.765537,32.408732,1.25,32.5,1,5.85,188.6,2.7,12,132.02,70,85.4,27.6,6.2,21.4,0.20169,7.60436,1.14147,0.01078,2.35765,0.0453,0.19975
Kasambya village shallow well,Well,,Nakaseke,0.79153,32.399405,1.25,32.5,1,5.77,203.2,1.9,8,142.24,53,64.66,47.2,23.2,24,0.22966,9.0262,15.57199,0.00245,6.23732,0.05197,0.25396
Kasambya A village shallow well,Well,,Nakaseke,0.833147,32.365718,1.25,32.5,1,6.25,249,1.2,1,174.3,105,128.1,66,31.8,34.2,0.38535,3.53109,21.21111,0.00268,1.4576,0.02906,0.27007
Kamuli community P/Sch. Borehole,BoreHole,,Nakaseke,0.841738,32.363862,1.25,32.5,1,6.92,240,3.8,14,168,62,75.64,79.2,39.2,40,0.18189,6.60401,33.75182,0.01304,7.42631,-0.00623,0.14626
Nakazzi lugo lumpweo borehole,BoreHole,,Nakaseke,0.843922,32.364662,1.25,32.5,1,6.2,347,2.1,4,242.9,92,112.24,56,32.2,23.8,0.26532,11.56756,26.34086,0.00522,8.96466,0.04094,0.25012
Uganda Matyrs Catholic parish borehole,BoreHole,,Nakaseke,0.8465,32.391598,1.25,32.5,1,6.54,166.6,1.8,3,116.62,55,67.1,101.2,48.2,53,0.26067,0.87978,24.81616,0.00679,2.4739,0.03355,0.31084
NWSC Kakooge PSP,NWSC,Kalina zone,Nakasongola,1.052127,32.467492,0.3570497,32.5773927,1,7.35,420,1.8,0.2432,294,220,268.4,170.2,86,84.2,1.63313,3.32715,1.52247,0.00463,0.20578,0.03327,0.17559
Katugo private water supply system,Others,Katugo,Nakasongola,1.156917,32.464505,1.781924,31.763868,0,6.73,867,2,0.2432,606.9,135,164.7,328.2,146,182.2,0.57474,157.8716,60.28844,0.00441,6.17978,0.03644,0.48381
Kyankanwa village borehole,BoreHole,Kyankanwa,Nakasongola,1.198533,32.463472,1.25,32.5,1,6.8,498,1.9,0.2432,348.6,115,140.3,162.4,84.4,78,0.37793,61.62422,17.80692,0.00926,7.90487,0.09276,0.33207
NWSC Nakasongola PSP,NWSC,Wabigalo,Nakasongola,1.25125,32.458779,0.3941603,32.0611057,1,6.77,141.5,2.4,21,99.05,40,48.8,38.2,18.8,19.4,0.34141,11.53516,0.55631,0.00247,0.9069,0.06189,0.30125
NWSC Nakasongola Kiosk,NWSC,Kansirye,Nakasongola,1.294542,32.464752,1.2930104,32.4577727,10,6.57,134.9,2.6,25,94.43,40,48.8,36.6,17.8,18.8,0.20278,10.88303,0.61037,0.00216,0.21933,0.08306,0.15353
Nakasongola A village borehole,BoreHole,Nakasongola a,Nakasongola,1.308018,32.465283,1.315727,32.4640116,1,6.56,334,1.8,3,233.8,120,146.4,98.6,48.4,50.2,0.31604,31.06985,1.02528,0.00362,6.71163,0.04876,0.36045
NWSC Nakasongola PSP,NWSC,Nakasongola a,Nakasongola,1.312917,32.465301,1.315727,32.4640116,10,6.65,144.6,2.8,29,101.22,42,51.24,43.2,19,24.2,0.10825,11.56837,1.12525,0.0022,0.34537,0.08495,0.16824
Nakasongola central police borehole,BoreHole,Nakasongola  ,Nakasongola,1.313042,32.465025,1.3204358,32.4894347,32,6.23,666,2.1,4,466.2,130,158.6,135.8,68.4,67.4,0.62627,67.92879,12.34891,0.00746,28.99053,0.08557,0.1888
St. Kizito Sasira borehole,BoreHole,Ssasira,Nakasongola,1.333789,32.416601,1.3264715,32.420316,1,6.01,264,1.8,0.2432,184.8,92,112.24,52.4,25.4,27,0.17837,12.12451,23.25799,0.00299,3.02935,0.03195,0.15911
NWSC Nkokonjeru PSP,NWSC,Kigulu,Buikwe,491344,26890,0.616667,32.833333,1,6.4,132,2.5,20,92.4,50,61,40.2,22.4,17.8,0.24,3.9,0.9,0.01,3.16,0.11,0.07
Kibali shallow well,Well,Kibali,Buikwe,498726,26789,1.6294648,31.3838697,1,5.8,166,1.7,0.2432,116.2,52,63.44,57.6,34.8,22.8,0.19,8.1,6.5,0.001,4.62,0.06,0.13
Nakigaya Protected spring,Protected Spring,Nakigaya,Buikwe,506445,30251,1.25,32.5,101,5.9,87,3.1,27,60.9,37,45.14,31.4,14.2,17.2,0.2,1.7,3.5,0.001,2.44,0.08,0.02
Buwooya mosque borehole,BoreHole,Kigayi,Buikwe,504301,32217,1.25,32.5,1,5.9,81,13,22,56.7,38,46.36,35.2,27,8.2,0.13,1.3,0.8,0.02,0.25,0.04,0.04
NWSC Buikwe PSP,NWSC,Majija,Buikwe,503217,33566,1.25,32.5,1,6.4,142,1.4,0.2432,99.4,65,79.3,49.6,27,22.6,0.25,2.5,0.8,0.001,1.22,0.09,0.05
NWSC Buikwe PSP,NWSC,Misindye upper,Buikwe,503034,38598,1.25,32.5,1,6.8,279,2.2,3,195.3,130,158.6,114.2,61.4,52.8,0.24,7.4,1.5,0.001,0.69,0.17,0.18
NWSC Lugazi final treated water,NWSC,Kawuku,Buikwe,496576,39968,0.2718351,32.6340944,1,6.1,90,1.7,0.2432,63,41,50.02,37.4,22.2,15.2,0.16,2.9,1.3,0.001,1.09,0.03,0.02
NWSC Lugazi PSP - far point,NWSC,Kibuba,Buikwe,494884,40689,-0.923728,30.6987137,1,6.2,93,2.1,5,65.1,37,45.14,46.6,20.6,26,0.13,4,1.4,0.001,0.94,0.02,0.01
Kasowole P/Sch borehole DWD 86267,BoreHole,Bulagala b,Kamuli,510054,123659,0.8066712,33.6359772,8,6.4,552,2.1,0.2432,386.4,190,231.8,156.4,98.8,57.6,0.55,20,61,0.01,3.65,0.07,0.19
Namusita Buyima community b/hole DWD 66233,BoreHole,Busuna,Kamuli,510908,113543,1.25,32.5,78,5.7,230,2.8,13,161,37,45.14,40.4,23,17.4,0.21,14,26,0.01,4.37,0.12,0.01
Busuna shallow well,Well,Namuyingi,Kamuli,511123,111497,1.25,32.5,1,6.4,530,1.9,0.2432,371,110,134.2,166.8,93.6,73.2,0.5,72,9.4,0.01,3.1,0.02,0.09
Namuyinji HC II borehole,BoreHole,Bulindi,Kamuli,512469,104708,1.476389,31.440556,1,5.1,129,2.4,0.2432,90.3,14,17.08,26.2,13.4,12.8,0.23,0.9,18,0.001,6.1,0.05,0.01
Bulindi shallow well,Well,Namaganda butooli,Kamuli,522216,95705,1.25,32.5,1,5.4,184,1.8,0.2432,128.8,21,25.62,29.4,20.6,8.8,0.17,13,22,0.001,3.52,0.02,0.05
Namaganda shallow well,Well,Naminage,Kamuli,520263,95734,0.865833,33.181389,1,6.2,621,2.1,1,434.7,150,183,238,82,156,0.4,48,39,0.1,29,0.05,0.11
Naminage community borehole DWD 28947,BoreHole,Kitayundwa,Kamuli,517950,98688,1.25,32.5,1,6.6,576,1.8,0.2432,403.2,240,292.8,254.8,188,66.8,0.34,7.2,44,0.001,8.72,0.08,0.12
Kitayundwa community borehole,BoreHole,Kitayundwa,Kamuli,517895,99191,1.25,32.5,10,6.5,571,2.5,4,399.7,175,213.5,210.2,128.6,81.6,0.24,27,26,0.01,13,0.01,0.01
Kitayundwa shallow well,Well,Namisambya,Kamuli,515772,100461,0.8979632,33.1448766,1,5.9,131,1.7,0.2432,91.7,16,19.52,30.4,21.2,9.2,0.1,7.1,6.7,0.001,6.12,0.27,0.02
Namisambya shalllow well,Well,Namisambya 2,Kamuli,515581,100613,0.8979632,33.1448766,1,5.8,557,1.8,0.2432,389.9,74,90.28,146.4,79.2,67.2,0.23,55,115,0.01,3.2,0.002,0.1
Namisambya community borehole,BoreHole,Bukwenge,Kamuli,513070,102171,0.9259206,33.1180027,1,6.2,434,1.8,0.2432,303.8,85,103.7,120.4,77.4,43,0.34,28,38,0.001,11,0.18,0.19
Bukwenge COU borehole,BoreHole,Bulyampanga,Kamuli,510133,98391,1.25,32.5,1,6,162,1.7,0.2432,113.4,53,64.66,42.4,23.2,19.2,0.27,9.2,5.6,0.01,2.57,0.08,0.3
NWSC Kamuli resovior (final treated water),NWSC,Busobya zone,Kamuli,505754,92887,1.25,32.5,1,5.8,161,1.6,0.2432,112.7,52,63.44,33.8,20,13.8,0.32,4.5,2.2,0.01,5.99,0.05,0.1
Wampologma community b/hole DWD 59654,BoreHole,Wampologoma,Kayunga,500569,87275,0.8,33.016667,1,6.1,220,1.9,0.2432,154,100,122,79,68.8,10.2,0.22,1.2,7.8,0.01,1.43,0.04,0.08
Bugonda community b/hole WDD 178,BoreHole,Bugonda,Kayunga,499418,85045,0.9280168,31.2627364,1,6.8,785,1.8,0.2432,549.5,195,237.9,318.4,149,169.4,0.8,73,80,0.001,0.82,0.002,0.03
Bugonda shallow well,Well,Bugonda,Kayunga,500922,83640,0.9280168,31.2627364,1,5.7,197,1.8,0.2432,137.9,34,41.48,44,21.4,22.6,0.07,1.7,5.8,0.001,16,0.11,0.03
Buganda borehole,BoreHole,Buganda,Kayunga,501106,83046,1.630366,31.412874,1,5.8,756,1.6,0.2432,529.2,60,73.2,212.8,112.2,100.6,0.15,124,91,0.001,5.49,0.05,0.02
Namirembe village borehole WDD 782,BoreHole,Namirembe,Kayunga,497400,88166,0.3181511,32.5592067,1,6,317,1.7,0.2432,221.9,99,120.78,110.4,53.2,57.2,0.42,35,1.6,0.001,2.35,0.06,0.05
Nongo mosque borehole,BoreHole,Nongo,Kayunga,492655,89528,0.633333,32.866667,1,6,272,2.7,0.2432,190.4,110,134.2,101.6,69.8,31.8,0.24,9.8,2.3,0.02,4.13,0.15,0.1
Budada borehole,BoreHole,Budada,Kayunga,487727,93339,0.8470222,32.8890457,1,5.8,566,1.8,1,396.2,600,732,158.6,102.4,56.2,0.31,100,34,0.001,6.49,0.05,0.17
Bulawula village b/hole WDD 9128,BoreHole,Bulawula c,Kayunga,494850,92383,0.835196,32.951386,1,6.2,271,1.8,0.2432,189.7,130,158.6,132.2,61,71.2,0.44,1.6,2.6,0.001,2.09,0.09,0.13
Nkokonjeru p/sch borehole,BoreHole,Nkokonjeru,Kayunga,4942223,91440,1.0746869,34.1843464,1,6,260,2.2,11,182,66,80.52,74.4,45.8,28.6,0.35,28,1.1,0.001,6.61,0.08,0.04
Busaana T/C H/qtrs borehole,BoreHole,Kawuku,Kayunga,498574,85435,0.2718351,32.6340944,1,6.4,483,1.8,0.2432,338.1,95,115.9,150,89.8,60.2,0.38,44,16,0.001,20,0.01,0.24
Aliganyira shallow well or Bangirana shallow well,Well,Kyabakwerere,Kamwenge,212591.0742,10046752.05,0.4204458,30.4097624,9,6.9,76,1.24,0,53.2,0,0,0,0,0,0,1.39561,9.72927,0.00865,0.00102,0,0
Kihoima bore hole,Others,Kihoima,Kamwenge,213852.3355,10046619.96,1.25,32.5,1,7.1,134.2,1.03,0,93.94,0,0,0,0,0,0,1.31526,15.7005,0.03777,0.00152,0,0
Basaliza spring,Unprotected Spring,Kihoima,Kamwenge,214347.9953,10047051.86,1.25,32.5,108,7.38,116.5,0.99,0,81.55,0,0,0,0,0,0,0.96973,12.50203,0.02682,0.00201,0,0
Kamwenge College School  Tap,Tap,Kengoma ii,Kamwenge,223026.7796,10017502.47,0.1529924,30.5422551,1,7.53,266,104,0,186.2,0,0,0,0,0,0,8.7641,65.234,0.03084,0.00343,0,0
Machiro Primary School Tap,Tap,Burengye,Kamwenge,225109.3864,10019025.79,1.25,32.5,36,7.87,420,1.08,0,294,0,0,0,0,0,0,9.88801,61.22324,0.02367,0.00157,0,0
Machiro Primary School BH,BoreHole,Burengye,Kamwenge,225548.7911,10019069.02,1.25,32.5,1,7.95,323,1.13,0,226.1,0,0,0,0,0,0,5.38449,31.45613,0.00663,0.00144,0,0
Agaba Waren Tap,Tap,Nyamashegwa i,Kamwenge,225229.8096,10018060.18,0.1641324,30.5277768,1,7.65,157.4,0.97,0,110.18,0,0,0,0,0,0,1.45978,18.66576,0.01149,0.00331,0,0
Kishiza shallow well ,Well,Kengoma ii,Kamwenge,226915.384,10017340.63,0.1529924,30.5422551,102,8.15,562,1.1,0,393.4,0,0,0,0,0,0,10.70044,103.4988,0.01239,0.0018,0,0
Bamurahura s/w,Others,Kengoma ii,Kamwenge,224562.0547,10018374.29,0.1529924,30.5422551,1,7.56,284,1.1,0,198.8,0,0,0,0,0,0,10.17997,58.16407,0.00917,0.00191,0,0
Nyamashegwa eremera BH ,BoreHole,Kengoma ii,Kamwenge,226008.0612,10017935.2,0.1529924,30.5422551,66,8.05,357,1.02,0,249.9,0,0,0,0,0,0,12.53693,31.7049,0.02297,0.00786,0,0
Bazerio musheroko shallow well,Well,Kengoma ii,Kamwenge,224772.1702,10018188.27,0.1529924,30.5422551,1,7.63,271,0.85,0,189.7,0,0,0,0,0,0,11.13073,66.62563,0.05155,0.00293,0,0
Maniriho Sharon psp,Others,Nkoma,Kamwenge,237987.0935,10036378.77,1.1,34.2,0,5.98,328,26,0,229.6,0,0,0,0,0,0,9.01585,44.30161,0.01697,0.00057,2.00486,0.04564
Akako shallow well,Well,Kinyonza,Kamwenge,239332.1297,10040967.38,0.3753035,30.6531093,3,6.36,380,1.5,0,266,0,0,0,0,0,0,15.21136,31.98672,0.10891,0.00182,2.40506,0.12568
Mpongerurwimo ps,Others,Kikiri,Kamwenge,247577.0344,10047628.21,0.4272035,30.7311355,2,6.14,387,3.25,0,270.9,0,0,0,0,0,0,4.86134,31.37258,0.02866,0.00621,0.8676,0.16647
